"filename", "language", "JSON", "JavaScript", "HTML", "TypeScript", "PostCSS", "SCSS", "JSON with Comments", "Markdown", "comment", "blank", "total"
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module\module.component.html", "HTML", 0, 0, 140, 0, 0, 0, 0, 0, 0, 11, 151
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module\module.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module\module.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module\module.component.ts", "TypeScript", 0, 0, 0, 77, 0, 0, 0, 0, 0, 8, 85
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\plan-module\plan-module.component.html", "HTML", 0, 0, 160, 0, 0, 0, 0, 0, 0, 21, 181
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\plan-module\plan-module.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\plan-module\plan-module.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\plan-module\plan-module.component.ts", "TypeScript", 0, 0, 0, 173, 0, 0, 0, 0, 0, 25, 198
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\program-files\program-adding\program-adding.component.html", "HTML", 0, 0, 68, 0, 0, 0, 0, 0, 0, 5, 73
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\program-files\program-adding\program-adding.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\program-files\program-adding\program-adding.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\program-files\program-adding\program-adding.component.ts", "TypeScript", 0, 0, 0, 77, 0, 0, 0, 0, 0, 9, 86
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\program-files\program\program.component.html", "HTML", 0, 0, 250, 0, 0, 0, 0, 0, 0, 15, 265
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\program-files\program\program.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\program-files\program\program.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
